Ýl;"Çöp ve çevresel atýk toplama hizmeti
";"Kanalizasyon hizmeti
";"Þebeke suyu hizmeti
";"Toplu taþýma hizmeti
";"Sosyal Güvenlik Kurumu hizmetleri
";"Saðlýk hizmetleri
";"Eðitim hizmetleri
";"Adli hizmetler
";"Asayiþ hizmetleri
";"Ulaþtýrma hizmetleri
";"Yol/kaldýrým yapýmý hizmeti
";"Iþýklandýrma hizmeti
";"Sokak levhalarý ve dýþ kapý numaralandýrma hizmetleri
"
Bolu;77,74;79,36;75,49;56,28;70,74;85,03;81,47;48,45;90,09;83,14;61,78;81,38;78,23
Burdur;74,97;73,41;63,41;52,39;60,64;78,84;74,63;28,77;87,15;81,32;56,01;82,36;56,2
Bursa;76,37;73;77,63;72,23;76,48;77,3;73,45;64,19;82,79;83,35;66,43;78,75;78,16
Denizli;81,63;73,13;81,2;58,49;72,32;80,1;71,74;50,11;83,83;77,85;66,08;84,55;76,04
Diyarbakýr;61,59;63,34;70,81;57,65;49,45;70,79;66,12;36,57;73,91;67,03;56,76;54,66;61,92
Düzce;50,82;50,2;47,09;47,27;58,61;73,95;52,77;45,67;68,2;63,36;45,1;45,61;44,37
Edirne;73,88;74,43;72,37;61,61;78,36;81,04;78,4;64,63;88,31;81,8;63;83,37;84,22
Elazýð;50,96;52,24;45,66;55,08;63,81;77,63;70,44;46,38;83,63;76,58;38,83;68,39;57,39
Erzincan;66,81;69,3;69,66;64,53;68,88;74,6;75,36;40,83;89,72;81,92;61,92;75,98;70,96
Erzurum;56,63;60,18;37,25;50,36;62,68;79,57;73,25;44,87;85,61;79,16;49,75;69,38;64,02
Eskiþehir;86,5;80,92;72,22;66,21;50,23;75,51;57,71;30,9;77,23;73,07;59,66;78,95;54,25
Gaziantep;74,47;76,79;77,52;73,58;72,38;81,44;80,35;50,43;86,58;85,81;66,73;78,88;73,76
Giresun;66,33;59,4;64,75;65,85;84,21;85,12;83,72;80,58;90,93;81,83;59,99;76,26;75,46
Gümüþhane;62,63;65,32;59,52;61,47;83,93;84,75;84,14;70,53;88,39;82,69;54,76;77,53;72,25
Hakkari;43,51;28,79;30,6;23,46;57,69;54,55;48,18;59,56;61,79;50,15;28,65;26,71;32,3
Hatay;68,95;54,99;58,99;51,01;61,76;70,86;64,86;42,89;79,31;74,99;52,54;62,63;63,79
Isparta;76,41;78,1;74,83;73,38;83,38;89,13;86,61;66,78;92;86,22;73,44;82,62;77,31
Iðdýr;33,06;32,5;33,06;39,62;69,65;72,08;77,81;63,4;85,05;75,56;35,39;47,23;60,78
Kahramanmaraþ;62,42;57,28;61,78;55,06;79,76;85,8;82,54;84,46;88,98;84,16;51,61;56,76;61,52
Karabük;82,14;81,32;71,43;70,34;66,74;76,95;75,72;52,18;86,9;83,32;72,86;84,64;79,7
Karaman;80,89;76,6;75,53;78,81;81,84;84,79;83,01;74,01;90,29;87,1;62,3;81,79;88,11
Kars;46,28;46,25;48,33;53,04;69,13;75,13;74,63;62,18;87,74;73,53;47,88;59,92;63,5
Kastamonu;86,06;82,63;79,43;62,22;66,13;83,08;86,06;53,04;92,75;84,63;76,05;89,06;85,9
Kayseri;76,38;74,9;73,2;69,69;70,08;76,97;69,57;51,9;84,16;79,23;68,18;82,28;79,47
Kilis;38,52;41,15;41,71;35,21;68,03;78,99;82,02;47,58;86,15;79,83;21,39;47,79;43,44
Kocaeli;73,46;72,39;79,06;59,18;67,35;70,54;66,54;57,89;74,29;73,44;61,91;73,65;76,59
Konya;80,05;77,06;84,31;78,06;80,15;82,04;78,22;74,79;87,15;87,85;70,22;87,85;87,3
Kütahya;62,76;63,75;61,58;58,08;81,99;85,07;85,49;55,65;91,23;88,96;58,09;67,68;64,98
Kýrklareli;72,56;74,95;70,24;71,9;76,27;76,15;75,76;61,39;85,12;84,75;61,17;82,49;83,41
Kýrýkkale;66,56;69,39;52,96;47,18;79,33;88,09;81,67;59,79;90,28;88,3;48,94;65,35;69,44
Kýrþehir;80,15;76,27;72,87;46,98;80,45;86,43;81,94;59,07;91,7;84,77;61,98;73,02;70,47
Malatya;66,57;66,41;66,57;62,74;69,2;77,78;69,06;52,16;86,24;76,32;45,32;68,79;59,09
Manisa;79,44;80,29;79,06;76,81;87,25;85,22;81,58;70,03;88,18;91,08;76,07;81,73;81,75
Mardin;58,72;53,36;52,09;45,6;65,69;68,34;67,29;47,07;75,22;64,94;44,5;42,48;47,97
Mersin;68,57;59,81;72,11;61,41;70,85;74,66;72,39;59,82;82,11;81,49;55,39;72,88;71,59
Muðla;70,53;55,83;74,81;53,33;67,66;71,48;66,79;47,65;79,77;76,03;55,94;76,71;73,88
Muþ;37,94;45,11;45,46;35,8;44,91;61,47;63,66;29,23;78,03;55,91;35,31;40,14;41,94
Nevþehir;76,33;74,76;66,33;64,43;72,64;85,62;76,85;50,16;85,45;82,91;62,08;76,06;73,76
Niðde;68,21;65,6;67,32;63,59;77,57;84,41;81,55;53,72;89,74;88,53;56,12;68,97;65,85
Ordu;54,25;48,68;52,73;54,4;66,41;81,63;77,75;54,92;88,55;81,75;52,98;72,62;69,85
Osmaniye;81,14;70,1;83,95;61,51;66,34;78,39;73,4;50,12;85,26;79,16;67,21;82,67;76,1
Rize;69,43;66,26;65,48;68,61;86,38;86,24;84,43;80,48;90,66;81,5;58,04;83,71;80,43
Sakarya;70,03;60,3;71,44;74,15;86,15;84;80,56;78,16;89,42;88,67;66,38;73,9;74,03
Samsun;69,02;61,85;68,12;66,11;81,6;84,31;80,46;72,92;87,74;86,22;59,33;76,72;73,99
Siirt;46,14;54,59;58,12;30,73;47,24;79,41;68,78;31,49;86,92;66,98;39,29;56,02;55,2
Sinop;61,94;68,17;68,38;49,23;75,94;80,55;87,48;63,87;93,68;91,04;64,55;82,2;77,36
Sivas;77,29;80,14;70,02;65,32;70,35;79,38;72,39;57,56;87,61;81,74;68,57;83,28;80,38
Tekirdað;73,88;72,92;66,73;59,7;75,37;75,07;76,88;54,54;83,81;77,77;49,44;73,98;71,32
Tokat;59,71;64,49;60,99;65,11;77,47;82,1;78,64;63,93;88,05;81,56;55,05;76,09;75,64
Trabzon;73,35;62,46;67,6;67,18;75,95;82,59;71,69;63,46;83,02;80,19;57,76;72,86;73,64
Tunceli;67,58;61,49;67,08;45,13;56,11;63,56;63,3;47,08;78,18;68,24;54,84;69,36;61,09
Uþak;72,93;78,6;79,28;67,7;89,49;88,56;84,69;64,74;92,41;93,59;67,71;82,65;80,41
Van;64,95;65,9;51,97;55,28;58,28;64,36;66,7;45,91;75,74;70,46;58,08;52,14;57,61
Yalova;68,85;72,62;76,23;66,31;67,57;78,85;70,82;52,45;80,55;77,17;60,62;75,71;75,71
Yozgat;71,64;75,44;71,39;56,97;71,72;81,05;82,46;58,68;89,21;81,53;63,65;76,46;72,52
Zonguldak;62,06;57,72;64,66;54,18;61,54;72,86;72,8;48,38;82,71;74,23;47,65;72,88;78,21
Çanakkale;69,21;67,17;65,43;61,25;76,67;79,8;75,53;67,06;87,05;82,31;57,7;76,75;72,35
Çankýrý;65,55;64,45;61,7;52,13;75,33;81,77;79,57;51,65;91,5;76,89;50,55;70,99;76,75
Çorum;78,9;81,64;64,74;53,82;49,31;78,17;69,15;43,86;83,84;77,7;56,27;66,08;54,58
Ýstanbul;82,12;81,3;86,83;69,89;69,33;67,43;61,59;47,94;68,51;68,88;65,4;78,34;78,95
Ýzmir;66,78;64,41;65,55;63,59;66,21;72,6;65,9;41;76,54;76,66;48,59;72,68;68,29
Þanlýurfa;66,7;70,95;72,22;65,39;61,05;79,21;74,03;42,31;86,02;73,45;64,35;62,21;64,94
Þýrnak;56,27;50,52;53,16;49,17;34,76;57,52;61,73;38,08;58,88;54,17;44,47;36,25;41,27
